rank,name,realm,faction,rating,wins,losses,class,spec
290,Nos,bleeding-hollow,HORDE,2834,402,356,Unknown,Unknown
292,Kaskä,tichondrius,HORDE,2833,289,266,Shaman,Restoration
293,Truffleßutta,tichondrius,HORDE,2831,201,156,Evoker,Devastation
293,Aýanokoji,tichondrius,ALLIANCE,2831,634,591,Shaman,Enhancement
295,Grovetenderx,tichondrius,ALLIANCE,2830,288,165,Druid,Restoration
295,Challengerz,suramar,ALLIANCE,2830,191,148,Priest,Discipline
297,Flickmyscale,illidan,ALLIANCE,2829,514,434,Unknown,Unknown
297,Lightcocain,tichondrius,ALLIANCE,2829,337,297,Unknown,Unknown
299,Shardsx,illidan,ALLIANCE,2828,293,230,Unknown,Unknown
300,Nahjski,tichondrius,ALLIANCE,2826,213,154,Rogue,Subtlety
300,Kebab,tichondrius,HORDE,2826,410,346,Priest,Holy
302,Catfromhome,stormrage,ALLIANCE,2823,353,243,Druid,Feral
303,Wizkxsterge,tichondrius,ALLIANCE,2822,906,524,Unknown,Unknown
303,Sneak,sargeras,ALLIANCE,2822,290,217,Druid,Restoration
303,Bleesorc,tichondrius,HORDE,2822,462,377,Shaman,Restoration
306,Flòwstate,tichondrius,ALLIANCE,2821,288,236,Warlock,Destruction
306,Nspr,sargeras,ALLIANCE,2821,172,141,Rogue,Assassination
306,Revzxy,khaz-modan,ALLIANCE,2821,647,546,Unknown,Unknown
306,Revzxy,khaz-modan,ALLIANCE,2821,647,546,Demon Hunter,Devourer
309,Melyspesh,tichondrius,ALLIANCE,2820,225,169,Monk,Mistweaver
310,Onryô,illidan,ALLIANCE,2819,488,427,Paladin,Holy
311,Lightsbäne,darkspear,ALLIANCE,2817,165,107,Paladin,Holy
312,Youresomadrn,korgath,HORDE,2816,243,183,Shaman,Elemental
313,Nethergiveup,stormrage,ALLIANCE,2815,172,120,Demon Hunter,Havoc
314,Loreleiamira,ragnaros,ALLIANCE,2814,593,457,Unknown,Unknown
314,Metaphorest,kelthuzad,ALLIANCE,2814,501,405,Druid,Restoration
314,Araylda,illidan,ALLIANCE,2814,340,286,Demon Hunter,Havoc
317,Thediffy,tichondrius,HORDE,2813,121,91,Priest,Shadow
318,Boømbam,bleeding-hollow,HORDE,2812,192,104,Mage,Fire
318,Kciktep,tichondrius,HORDE,2812,111,61,Death Knight,Unholy
318,Calmfour,sargeras,ALLIANCE,2812,176,115,Unknown,Unknown
318,Calmfour,sargeras,ALLIANCE,2812,176,115,Unknown,Unknown
318,Nosfour,bleeding-hollow,ALLIANCE,2812,220,185,Warlock,Demonology
